Date,Power_kW,temp_C,HR,solarRad_W/m2,Power-1,Hour,HDH
2018-02-13 16:00:00,129.09417,12.041666666666666,59.01500000000001,235.39166666666665,152.852549,16,0.0
2018-02-13 17:00:00,106.28823249999999,11.899166666666666,63.76666666666667,48.5675,129.09417,17,0.0
2018-02-13 18:00:00,104.76594300000001,11.486666666666666,67.93833333333335,3.338999999999999,106.28823249999999,18,0.0
2018-02-13 19:00:00,76.070338,11.214166666666666,71.48166666666667,0.9738333333333333,104.76594300000001,19,0.0
2018-02-13 20:00:00,70.3681435,11.111666666666666,73.675,1.3685,76.070338,20,0.0
2018-02-13 21:00:00,51.810283,11.263333333333334,73.51666666666667,0.9946666666666665,70.3681435,21,0.0
2018-02-13 22:00:00,44.0974515,11.246666666666668,73.74166666666666,1.0709166666666665,51.810283,22,0.0
2018-02-13 23:00:00,42.40211,11.224166666666667,74.10000000000001,1.0870833333333332,44.0974515,23,0.0
2018-02-14 00:00:00,41.691111,11.258333333333333,74.125,0.97625,42.40211,0,0.0
2018-02-14 01:00:00,40.4662,11.241666666666667,74.38333333333334,1.3547500000000001,41.691111,1,0.0
2018-02-14 02:00:00,39.9376485,11.289166666666668,73.93333333333334,1.3663333333333334,40.4662,2,0.0
2018-02-14 03:00:00,39.816818,11.080833333333336,77.50833333333334,1.1354166666666667,39.9376485,3,0.0
2018-02-14 04:00:00,39.484698,10.725000000000001,81.12499999999999,0.8700833333333334,39.816818,4,0.0
2018-02-14 05:00:00,38.82308,10.935833333333333,80.39166666666665,1.0824166666666664,39.484698,5,0.0
2018-02-14 06:00:00,45.5771335,11.176666666666668,79.10000000000001,1.0224999999999997,38.82308,6,0.0
2018-02-14 07:00:00,83.885209,10.92,80.02499999999999,20.371750000000002,45.5771335,7,0.0
2018-02-14 08:00:00,105.402652,11.323333333333332,78.70833333333333,109.35666666666667,83.885209,8,0.0
2018-02-14 09:00:00,118.66232450000001,12.462499999999999,72.305,242.3166666666667,105.402652,9,0.0
2018-02-14 10:00:00,210.4886975,13.031666666666666,64.61416666666666,333.775,118.66232450000001,10,0.0
2018-02-14 11:00:00,187.1598895,13.411666666666667,64.30166666666666,569.0583333333334,210.4886975,11,0.0
